result_key,surface_power [wh],runtime [sec]
triangle_55_c1c,1232.0,1.18
triangle_55_c1m,1991.5079999999996,1.18
triangle_55_c2s,1542.0,63.76
triangle_55_c2c,1135.0,63.76
triangle_55_c2m,1744.162,63.76
triangle_60_a1,190.79,0.02
triangle_60_a2,1459.2,0.16
triangle_60_a3,2017.3,1.27
triangle_60_a4,1205.52,1.27
triangle_60_b1,2184.01,1.07
triangle_60_b2,2186.02,76.56
triangle_60_c1s,1358.0,1.21
triangle_60_c1c,1213.0,1.21
triangle_60_c1m,1849.005,1.21
triangle_60_c2s,1408.0,63.72
triangle_60_c2c,1079.0,63.72
triangle_60_c2m,1589.4609999999996,63.72
triangle_65_a1,164.5,0.02
triangle_65_a2,1439.49,0.16
